Time  Up  Ip  Btor  Ur  Up  Ip  Btor  Ur
0  0,0210  -0,5638  -0,2682  -6,0000  0,0420  -0,5951  -0,2980  -8,0000
2,686  -0,0210  -0,7830  1,7582  100,0000  0,1050  -0,7517  1,7582  91,0000
2,72  0,0420  -0,7204  1,7880  100,0000  0,0840  -0,7517  1,8178  92,0000
2,754  0,0420  -0,7517  1,8774  100,0000  0,1050  -0,7830  1,9072  91,0000
2,788  0,0420  -0,7517  1,9072  100,0000  0,1260  -0,7830  1,9370  93,0000
2,822  0,0840  -0,7517  1,9668  101,0000  0,1050  -0,7830  1,9966  94,0000
2,856  0,0630  -0,7830  2,0264  101,0000  0,0630  -0,8143  2,0562  95,0000
2,89  0,0630  -0,7830  2,0860  102,0000  0,1050  -0,8143  2,1158  96,0000
2,924  0,0630  -0,8143  2,1456  103,0000  0,1050  -0,8143  2,1754  97,0000
2,958  0,1050  -0,7830  2,2052  104,0000  0,1050  -0,8143  2,2052  98,0000
2,992  0,0840  -0,8143  2,2648  105,0000  0,0840  -0,8143  2,2648  99,0000
3,026  0,0840  -0,8143  2,2946  106,0000  0,0840  -0,8456  2,3244  100,0000
3,06  0,0630  -0,8456  2,3542  107,0000  0,1050  -0,8456  2,3840  102,0000
3,094  0,0420  -0,8456  2,4138  108,0000  0,0840  -0,8770  2,4436  102,0000
3,128  0,0840  -0,8143  2,4734  109,0000  0,1050  -0,8770  2,5032  102,0000
3,162  0,0840  -0,8770  2,5330  108,0000  0,1050  -0,8770  2,5330  104,0000
3,196  0,0840  -0,8770  2,5926  110,0000  0,1050  -0,8770  2,5926  105,0000
3,23  0,0420  -0,8770  2,5926  110,0000  0,0630  -0,9083  2,6522  106,0000
3,264  0,0840  -0,8770  2,6820  111,0000  0,1050  -0,9083  2,7118  107,0000
3,298  0,0630  -0,9396  2,7416  112,0000  0,1050  -0,9083  2,8012  108,0000
3,332  0,0630  -0,9083  2,8012  113,0000  0,0840  -0,9396  2,8310  108,0000
3,366  0,0420  -0,9083  2,8608  114,0000  0,0840  -0,9396  2,8608  110,0000
3,4  0,0630  -0,9396  2,8906  115,0000  0,0840  -0,9396  2,9204  111,0000
3,434  0,0840  -0,9396  2,9800  115,0000  0,1050  -0,9396  2,9800  112,0000
3,468  0,0630  -0,9709  3,0098  116,0000  0,0840  -0,9396  3,0098  113,0000
3,502  0,0840  -0,9396  3,0694  118,0000  0,0840  -0,9709  3,0992  114,0000
3,536  0,1050  -0,9709  3,1290  118,0000  0,1050  -0,9709  3,1588  114,0000
3,57  0,0840  -0,9709  3,1588  119,0000  0,0840  -1,0022  3,2184  116,0000
3,604  0,0840  -0,9709  3,2184  120,0000  0,0630  -1,0022  3,2482  116,0000
3,638  0,0630  -1,0336  3,3078  121,0000  0,0840  -1,0022  3,3078  116,0000
3,672  0,0420  -1,0022  3,3376  121,0000  0,0420  -1,0022  3,3674  118,0000
3,706  0,0840  -1,0022  3,3972  122,0000  0,1050  -1,0022  3,4270  119,0000
3,74  0,0420  -1,0336  3,4568  123,0000  0,0840  -1,0336  3,4866  119,0000
3,774  0,0840  -1,0336  3,4866  124,0000  0,0840  -1,0336  3,5164  120,0000
3,808  0,0630  -1,0336  3,5760  124,0000  0,0630  -1,0336  3,5760  121,0000
3,842  0,1050  -1,0336  3,6058  125,0000  0,0840  -1,0336  3,6356  122,0000
3,876  0,1050  -1,0649  3,6654  125,0000  0,0840  -1,0649  3,7250  123,0000
3,91  0,0420  -1,0649  3,6952  126,0000  0,0840  -1,0649  3,7250  124,0000
3,944  0,0630  -1,0649  3,7846  128,0000  0,0630  -1,0649  3,8144  124,0000
3,978  0,0840  -1,0649  3,8144  126,0000  0,0630  -1,0962  3,8442  124,0000
4,012  0,0840  -1,0649  3,8740  128,0000  0,0840  -1,1275  3,9038  125,0000
4,046  0,0630  -1,0962  3,9336  128,0000  0,0840  -1,0962  3,9634  126,0000
4,08  0,0630  -1,0962  3,9932  129,0000  0,0840  -1,0962  3,9932  127,0000
4,114  0,0630  -1,1275  4,0230  130,0000  0,0630  -1,1275  4,0528  127,0000
4,148  0,0630  -1,1275  4,0528  130,0000  0,0840  -1,1275  4,1124  128,0000
4,182  0,0630  -1,1588  4,1124  131,0000  0,0630  -1,1275  4,1422  130,0000
4,216  0,1050  -1,1275  4,1720  132,0000  0,0840  -1,1275  4,1720  130,0000
4,25  0,0840  -1,1275  4,2316  133,0000  0,0840  -1,1588  4,2614  131,0000
4,284  0,0840  -1,1275  4,2912  133,0000  0,1050  -1,1588  4,2912  132,0000
4,318  0,0840  -1,1275  4,3210  134,0000  0,0210  -1,1588  4,3508  132,0000
4,352  0,0630  -1,1588  4,3508  135,0000  0,0840  -1,1588  4,4104  134,0000
4,386  0,0840  -1,1902  4,4402  135,0000  0,0840  -1,1588  4,4700  133,0000
4,42  0,0630  -1,1902  4,4700  136,0000  0,0840  -1,1902  4,4998  135,0000
4,454  0,0840  -1,1902  4,5296  138,0000  0,0630  -1,1588  4,5296  135,0000
4,488  0,0840  -1,2215  4,5892  137,0000  0,1050  -1,1902  4,5892  136,0000
4,522  0,0630  -1,2215  4,6488  138,0000  0,0840  -1,1275  4,6488  137,0000
4,556  0,0630  -1,2215  4,7084  139,0000  0,0420  -1,1902  4,7084  138,0000
4,59  0,0630  -1,2215  4,7382  140,0000  0,0630  -1,2528  4,7680  139,0000
4,624  0,0840  -1,2215  4,7978  141,0000  0,0630  -1,2215  4,8276  140,0000
4,658  0,0420  -1,2215  4,8574  142,0000  0,0630  -1,2215  4,8574  141,0000
4,692  0,0630  -1,2215  4,8872  143,0000  0,0630  -1,2215  4,9170  142,0000
4,726  0,0630  -1,2215  4,9170  143,0000  0,0420  -1,2215  4,9766  143,0000
4,76  0,0630  -1,2528  4,9766  145,0000  0,0630  -1,2215  5,0064  143,0000
4,794  0,0630  -1,2528  5,0362  145,0000  0,0840  -1,2215  5,0660  145,0000
4,828  0,0630  -1,2528  5,0958  145,0000  0,0840  -1,2528  5,0958  144,0000
4,862  0,0840  -1,2528  5,1256  146,0000  0,0840  -1,2528  5,1256  146,0000
4,896  0,0630  -1,3154  5,1852  147,0000  0,0420  -1,2528  5,1852  146,0000
4,93  0,0840  -1,2841  5,2150  148,0000  0,0420  -1,2528  5,2150  147,0000
4,964  0,0840  -1,2841  5,2746  148,0000  0,0630  -1,2528  5,3044  148,0000
4,998  0,0630  -1,2841  5,3342  149,0000  0,0630  -1,2841  5,3342  150,0000
5,032  0,0630  -1,2841  5,3640  150,0000  0,1680  -1,2841  5,3938  150,0000
5,066  0,0420  -1,2841  5,4236  150,0000  0,0630  -1,2528  5,4534  151,0000
5,1  0,2730  -1,3154  5,4832  151,0000  0,0000  -1,2841  5,4832  151,0000
5,134  -0,3360  -1,3468  5,5130  151,0000  0,0630  -1,3154  5,5428  153,0000
5,168  -0,6510  -1,3468  5,6024  149,0000  0,0630  -1,2841  5,5726  154,0000
5,202  -1,1130  -1,3154  5,6322  147,0000  0,0630  -1,3154  5,6322  153,0000
5,236  -1,0920  -1,3468  5,6620  144,0000  0,0630  -1,3154  5,6620  154,0000
5,27  -0,1260  -1,3468  5,6918  142,0000  0,0630  -1,3468  5,7216  153,0000
5,304  0,1890  -1,3468  5,7514  144,0000  0,0420  -1,3154  5,7812  154,0000
5,338  0,2940  -1,3468  5,8110  150,0000  0,0630  -1,3154  5,8110  155,0000
5,372  0,6090  -1,3468  5,8408  156,0000  0,0840  -1,3154  5,8706  156,0000
5,406  0,5250  -1,3781  5,9004  165,0000  0,0630  -1,3468  5,9302  157,0000
5,44  0,6090  -1,3468  5,9600  171,0000  0,0420  -1,3154  5,9600  157,0000
5,474  0,7350  -1,4094  5,9898  180,0000  0,0840  -1,3468  6,0196  158,0000
5,508  0,8190  -1,4407  6,0494  188,0000  0,0420  -1,3468  6,0792  158,0000
5,542  0,9030  -1,4407  6,0792  195,0000  0,0630  -1,3468  6,1090  160,0000
5,576  0,9450  -1,5034  6,1388  204,0000  0,0630  -1,3468  6,1686  160,0000
5,61  1,0290  -1,4720  6,1984  213,0000  0,0630  -1,3468  6,1984  160,0000
5,644  0,9870  -1,4720  6,2282  221,0000  0,0420  -1,3468  6,2580  161,0000
5,678  1,0710  -1,5034  6,2878  231,0000  0,0630  -1,3781  6,2878  163,0000
5,712  1,0920  -1,5034  6,3176  238,0000  0,0630  -1,3781  6,3474  163,0000
5,746  1,0710  -1,5034  6,3772  246,0000  0,0630  -1,3781  6,4070  165,0000
5,78  1,0500  -1,5347  6,4070  254,0000  0,0630  -1,3781  6,4368  164,0000
5,814  1,1130  -1,5347  6,4666  261,0000  -0,0210  -1,4407  6,4964  166,0000
5,848  1,1760  -1,5660  6,5262  268,0000  0,0630  -1,4094  6,5560  165,0000
5,882  0,9030  -1,5347  6,5560  274,0000  0,0420  -1,4094  6,5560  166,0000
5,916  0,8610  -1,5347  6,6156  280,0000  0,0630  -1,4094  6,6454  167,0000
5,95  0,8190  -1,5347  6,6454  285,0000  0,0630  -1,3781  6,6752  169,0000
5,984  0,3780  -1,5034  6,7050  290,0000  0,0420  -1,3781  6,7050  169,0000
6,018  0,3990  -1,5347  6,7646  295,0000  0,0630  -1,4094  6,7646  170,0000
6,052  0,4200  -1,5347  6,7646  298,0000  0,0630  -1,4407  6,8540  171,0000
6,086  0,3360  -1,5347  6,8540  302,0000  0,0420  -1,4407  6,8540  172,0000
6,12  0,1890  -1,5347  6,9136  305,0000  0,0630  -1,4407  6,8838  172,0000
6,154  0,2100  -1,5347  6,9434  306,0000  0,0210  -1,4094  6,9434  172,0000
6,188  -0,1050  -1,5973  7,0030  309,0000  0,0420  -1,4407  7,0030  174,0000
6,222  -0,0210  -1,5973  7,0328  310,0000  0,0630  -1,4407  7,0030  174,0000
6,256  0,2100  -1,5660  7,0626  313,0000  0,0420  -1,4407  7,0626  175,0000
6,29  0,2100  -1,5660  7,1222  314,0000  0,0000  -1,4407  7,1520  175,0000
6,324  0,1680  -1,5347  7,1520  315,0000  0,0630  -1,4720  7,1818  176,0000
6,358  0,1680  -1,5660  7,1818  317,0000  0,0630  -1,4720  7,2116  176,0000
6,392  0,0840  -1,5660  7,2414  318,0000  0,0630  -1,4720  7,2712  177,0000
6,426  0,0420  -1,5973  7,3010  319,0000  0,0420  -1,4720  7,3010  178,0000
6,46  -0,0210  -1,6286  7,3308  319,0000  0,0630  -1,4720  7,3606  179,0000
6,494  -0,0840  -1,6286  7,3904  320,0000  0,0630  -1,4720  7,3904  178,0000
6,528  -0,1050  -1,6286  7,4202  320,0000  0,0630  -1,4720  7,4500  180,0000
6,562  -0,0840  -1,5973  7,4500  319,0000  0,0630  -1,4720  7,4798  181,0000
6,596  -0,1470  -1,6286  7,5096  319,0000  0,0630  -1,5347  7,5394  181,0000
6,63  -0,1680  -1,6286  7,5692  319,0000  0,0630  -1,5034  7,5692  182,0000
6,664  -0,1680  -1,6286  7,5990  316,0000  0,0420  -1,4720  7,6288  181,0000
6,698  -0,2310  -1,6286  7,6288  314,0000  0,0420  -1,5034  7,6884  182,0000
6,732  -0,2520  -1,6286  7,6884  313,0000  0,0420  -1,5034  7,7182  182,0000
6,766  -0,2940  -1,6286  7,7182  310,0000  0,0420  -1,5034  7,7480  183,0000
6,8  -0,3150  -1,6600  7,7778  308,0000  0,0840  -1,5034  7,8076  184,0000
6,834  -0,2940  -1,6286  7,8374  306,0000  0,0210  -1,5034  7,8374  184,0000
6,868  -0,3360  -1,6286  7,8672  303,0000  0,0840  -1,5034  7,8970  184,0000
6,902  -0,3150  -1,6286  7,8970  300,0000  0,0630  -1,5347  7,9268  185,0000
6,936  -0,3780  -1,6600  7,9566  297,0000  0,0420  -1,5347  7,9566  187,0000
6,97  -0,3990  -1,6913  8,0162  295,0000  0,0840  -1,5347  8,0162  187,0000
7,004  -0,2940  -1,6286  8,0460  293,0000  0,0630  -1,5347  8,0460  188,0000
7,038  -0,3150  -1,6286  8,0758  290,0000  0,0210  -1,5347  8,1056  188,0000
7,072  -0,2730  -1,6600  8,1354  288,0000  0,0420  -1,5347  8,1354  189,0000
7,106  -0,3150  -1,6286  8,1652  286,0000  0,0210  -1,5660  8,1950  190,0000
7,14  -0,2730  -1,6600  8,2248  282,0000  0,0630  -1,5660  8,2248  190,0000
7,174  -0,3360  -1,6286  8,2546  280,0000  0,0420  -1,5347  8,2844  191,0000
7,208  -0,5250  -1,6600  8,2844  278,0000  0,0630  -1,5347  8,3142  192,0000
7,242  -0,3990  -1,6600  8,3440  276,0000  0,0630  -1,5660  8,3738  193,0000
7,276  -0,2100  -1,6600  8,4036  273,0000  0,0420  -1,5660  8,4036  193,0000
7,31  -0,0630  -1,6600  8,4334  272,0000  0,0210  -1,5660  8,4334  195,0000
7,344  -0,0840  -1,6600  8,4632  270,0000  0,0420  -1,5660  8,4930  195,0000
7,378  -0,1050  -1,6600  8,4930  270,0000  0,0630  -1,5660  8,5228  195,0000
7,412  -0,0840  -1,6600  8,5526  269,0000  0,0630  -1,5660  8,5824  196,0000
7,446  -0,1260  -1,6913  8,6122  269,0000  0,0210  -1,5973  8,6122  198,0000
7,48  -0,1260  -1,6913  8,6122  268,0000  0,0420  -1,5660  8,6420  198,0000
7,514  -0,1050  -1,6600  8,6718  268,0000  0,0630  -1,5660  8,6718  200,0000
7,548  -0,1050  -1,6913  8,7314  266,0000  -0,0210  -1,5973  8,7314  200,0000
7,582  -0,1260  -1,6913  8,7612  266,0000  0,0630  -1,5660  8,7910  200,0000
7,616  0,0000  -1,6600  8,8208  264,0000  0,0630  -1,5660  8,8208  201,0000
7,65  -0,0630  -1,7226  8,8506  264,0000  0,0630  -1,5660  8,8506  203,0000
7,684  0,0000  -1,6600  8,8804  264,0000  0,0420  -1,5973  8,9102  203,0000
7,718  -0,0420  -1,6913  8,9102  263,0000  0,0420  -1,5973  8,9698  204,0000
7,752  -0,0840  -1,6913  8,9400  263,0000  0,0630  -1,5973  8,9996  204,0000
7,786  -0,0420  -1,6913  8,9996  263,0000  0,0630  -1,6286  9,0294  205,0000
7,82  -0,0630  -1,6913  9,0592  262,0000  0,0210  -1,6286  9,0890  205,0000
7,854  -0,0840  -1,7226  9,0890  260,0000  0,0420  -1,6286  9,1188  206,0000
7,888  -0,0210  -1,6913  9,1486  262,0000  0,0420  -1,5973  9,1784  206,0000
7,922  -0,0840  -1,7226  9,1784  261,0000  0,0420  -1,5660  9,1784  208,0000
7,956  -0,0630  -1,7226  9,2380  261,0000  0,0210  -1,5973  9,2678  207,0000
7,99  -0,0840  -1,6913  9,2678  261,0000  0,0420  -1,6286  9,2678  208,0000
8,024  -0,0630  -1,7226  9,2976  260,0000  0,0420  -1,6286  9,2976  209,0000
8,058  -0,0420  -1,7226  9,3274  260,0000  0,0210  -1,6286  9,3572  209,0000
8,092  -0,0420  -1,7226  9,3870  260,0000  0,0420  -1,6286  9,4168  209,0000
8,126  -0,0210  -1,7226  9,4168  259,0000  0,0420  -1,6286  9,4466  210,0000
8,16  -0,0420  -1,7539  9,4466  260,0000  0,0420  -1,6286  9,4764  211,0000
8,194  -0,1470  -1,7226  9,5062  259,0000  0,0420  -1,6286  9,5062  212,0000
8,228  -0,1470  -1,7226  9,5360  258,0000  0,0210  -1,6286  9,5360  210,0000
8,262  -0,1890  -1,7539  9,5956  258,0000  0,0210  -1,6286  9,5956  211,0000
8,296  -0,1050  -1,7226  9,6254  258,0000  0,0420  -1,5973  9,6254  212,0000
8,33  -0,1260  -1,7539  9,6552  257,0000  0,0630  -1,6286  9,6850  211,0000
8,364  -0,1050  -1,7539  9,6850  257,0000  0,0210  -1,6286  9,7148  213,0000
8,398  -0,0840  -1,7539  9,7446  257,0000  0,0210  -1,6286  9,7744  214,0000
8,432  -0,0630  -1,7539  9,7744  258,0000  0,0210  -1,6600  9,8340  214,0000
8,466  -0,0210  -1,7539  9,8340  257,0000  0,0210  -1,6600  9,8340  215,0000
8,5  -0,0210  -1,7539  9,8340  258,0000  0,0630  -1,6286  9,8936  215,0000
8,534  -0,0210  -1,7539  9,8936  257,0000  0,0210  -1,6600  9,9234  215,0000
8,568  0,0210  -1,7226  9,9532  257,0000  0,0420  -1,6286  9,9532  215,0000
8,602  0,0210  -1,7226  9,9830  258,0000  0,0210  -1,6600  9,9830  216,0000
8,636  0,0420  -1,7226  10,0128  259,0000  0,0420  -1,6600  10,0724  216,0000
8,67  0,0000  -1,6913  10,0724  258,0000  0,0630  -1,6600  10,1022  217,0000
8,704  0,0000  -1,7226  10,1022  257,0000  0,0210  -1,6600  10,1022  218,0000
8,738  0,0210  -1,7226  10,1320  257,0000  0,0210  -1,6286  10,1618  218,0000
8,772  0,0000  -1,7226  10,1618  257,0000  0,0420  -1,6286  10,1916  218,0000
8,806  0,0420  -1,7226  10,1916  256,0000  0,0210  -1,6286  10,2512  218,0000
8,84  -0,0630  -1,7539  10,2512  257,0000  0,0000  -1,6600  10,2810  219,0000
8,874  0,0000  -1,7226  10,2810  255,0000  0,0420  -1,6600  10,3108  219,0000
8,908  -0,0420  -1,7539  10,3108  257,0000  0,0630  -1,6600  10,3704  219,0000
8,942  -0,0210  -1,7539  10,3406  257,0000  0,0210  -1,6600  10,4002  220,0000
8,976  0,0000  -1,7226  10,4002  255,0000  0,0420  -1,6600  10,4300  220,0000
9,01  -0,0210  -1,7852  10,4300  256,0000  0,0420  -1,6600  10,4598  221,0000
9,044  0,0000  -1,7226  10,4896  257,0000  0,0210  -1,6600  10,5492  221,0000
9,078  -0,0420  -1,7539  10,5194  257,0000  0,0420  -1,6286  10,5492  222,0000
9,112  0,0000  -1,7226  10,5492  257,0000  0,0210  -1,6600  10,5790  223,0000
9,146  0,0000  -1,7226  10,6088  257,0000  0,0000  -1,6913  10,6088  223,0000
9,18  0,0210  -1,7539  10,6088  256,0000  0,0420  -1,6600  10,6684  223,0000
9,214  0,0000  -1,7226  10,6684  257,0000  0,0210  -1,6600  10,6982  223,0000
9,248  0,0210  -1,7226  10,7280  257,0000  0,0210  -1,6600  10,7280  224,0000
9,282  -0,0420  -1,7852  10,7578  257,0000  -0,0210  -1,7226  10,7876  225,0000
9,316  0,0210  -1,7226  10,7876  257,0000  0,0210  -1,6913  10,8174  225,0000
9,35  -0,0210  -1,7852  10,8472  256,0000  0,0420  -1,6600  10,8770  226,0000
9,384  -0,0210  -1,7852  10,8770  257,0000  0,0210  -1,6600  10,9068  226,0000
9,418  -0,0210  -1,7852  10,9068  257,0000  0,0420  -1,6600  10,9068  226,0000
9,452  -0,0630  -1,7852  10,9664  257,0000  0,0210  -1,6600  10,9664  227,0000
9,486  -0,0210  -1,7852  10,9962  257,0000  0,0420  -1,6913  10,9962  227,0000
9,52  0,0000  -1,7226  10,9962  258,0000  0,0420  -1,6913  11,0558  228,0000
9,554  0,0210  -1,7539  11,0558  258,0000  0,0420  -1,6913  11,0856  228,0000
9,588  0,0000  -1,7539  11,0558  257,0000  0,0210  -1,6913  11,1154  229,0000
9,622  0,0210  -1,7226  11,1154  257,0000  0,0420  -1,6600  11,1750  229,0000
9,656  0,0210  -1,7539  11,1452  257,0000  0,0210  -1,6913  11,2048  229,0000
9,69  0,0210  -1,7539  11,1750  257,0000  0,0420  -1,6913  11,2346  230,0000
9,724  0,0000  -1,7539  11,2346  258,0000  0,0840  -1,6913  11,2942  231,0000
9,758  0,0000  -1,7539  11,2644  258,0000  0,0420  -1,7226  11,2942  230,0000
9,792  0,0000  -1,7539  11,3240  258,0000  0,0000  -1,6913  11,3538  231,0000
9,826  0,0210  -1,7539  11,3538  257,0000  0,0210  -1,6913  11,3836  232,0000
9,86  0,0000  -1,7539  11,3538  257,0000  0,0210  -1,6600  11,4134  231,0000
9,894  0,0210  -1,7539  11,4134  257,0000  0,0630  -1,6913  11,4730  231,0000
9,928  -0,0420  -1,8166  11,4432  256,0000  0,0420  -1,6913  11,5028  231,0000
9,962  -0,0210  -1,8479  11,5028  257,0000  0,0420  -1,6913  11,5326  231,0000
9,996  0,0000  -1,7539  11,5326  256,0000  0,0420  -1,6913  11,5624  231,0000
